Designator,Mid X,Mid Y,Rotation,Layer
D1,110.73,-71.0,0.0,top
D2,51.73,-71.0,0.0,top
J1,83.73,-80.0,90.0,top
Q1,58.55,-79.99,270.0,top
Q2,99.45,-82.01,90.0,top
R1,68.0,-76.0,180.0,top
R2,62.0,-91.0,0.0,top
R3,68.0,-71.0,0.0,top
R4,91.0,-77.0,0.0,top
R5,92.0,-71.0,0.0,top
R6,105.0,-83.0,270.0,top
SW1,74.0,-86.0,0.0,top
SW2,90.0,-88.0,0.0,top
